TITLE: Bill of Materials
DATE: 12/23/2020
DESIGN: mrd104_microboard_apps_b
VARIANT:do_not_purchase

NOTE: DNI--> DO NOT INSTALL(PACKOUT) ; DNP--> DO NOT PROCURE

ITEM,REF_DES,DNI/DNP,QTY,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,ANT1,-,1,2450AT18D0100,JOHANSON TECHNOLOGY,2.45GHZ,ANTENNA; DETUNING RESILIENT; SMT; EIA 1210; DETUNING RESILIENT; EDGE MOUNT DESIGN; 2.45GHZ, 
2,C1,-,1,C1005X7R1H104K050BB;GRM155R71H104KE14;C1005X7R1H104K050BE;UMK105B7104KV-FR,TDK;MURATA;TDK;TAIYO YUDEN,0.1UF,CAP; SMT (0402); 0.1UF; 10%; 50V; X7R; CERAMIC, 
3,C2,-,1,C1005X5R1V225K050BC,TDK,2.2UF,CAP; SMT (0402); 2.2UF; 10%; 35V; X5R; CERAMIC, 
4,"C3, C5, C8, C10",-,4,C1005X5R0J475K050BC,TDK,4.7UF,CAP; SMT (0402); 4.7UF; 10%; 6.3V; X5R; CERAMIC, 
5,C4,-,1,C1005X5R0J225K050BC;CL05A225KQ5NSN,TDK;SAMSUNG,2.2UF,CAP; SMT (0402); 2.2UF; 10%; 6.3V; X5R; CERAMIC, 
6,"C6, C16",-,2,GRM0335C1H160JA01,MURATA,16PF,CAP; SMT (0201); 16PF; 5%; 50V; C0G; CERAMIC, 
7,"C7, C9, C40, C42, C44, C50, C51",-,7,C1608X5R1E106M080AC;CL10A106MA8NRNC;GRM188R61E106MA73;ZRB18AR61E106ME01;GRT188R61E106ME13,TDK;SAMSUNG ELECTRONICS;MURATA;;MURATA,10UF,CAP; SMT (0603); 10UF; 20%; 25V; X5R; CERAMIC,USE ONLY GRM188R61E106MA73
8,"C11, C13, C14",-,3,GRM033R61A105ME15,MURATA,1UF,CAP; SMT (0201); 1UF; 20%; 10V; X5R; CERAMIC, 
9,"C12, C15, C34, C36, C52, C54, C55",-,7,GRM033C71C104KE14,MURATA,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 16V; X7S; CERAMIC, 
10,C17,-,1,GRM21BR61A476ME15,MURATA,47UF,CAP; SMT (0805); 47UF; 20%; 10V; X5R; CERAMIC, 
11,C18,-,1,GRM033R61E472MA12,MURATA,4700PF,CAP; SMT (0201); 4700PF; 20%; 25V; X5R; CERAMIC, 
12,"C19, C20, C22-C24, C26-C29, C32, C53, C62-C64",-,14,C0402C105K8PAC;CC0402KRX5R6BB105,KEMET;YAGEO,1UF,CAP; SMT (0402); 1UF; 10%; 10V; X5R; CERAMIC, 
13,"C21, C25, C30, C31, C39, C41, C43",-,7,CL10A226MO7JZNC,SAMSUNG ELECTRONICS,22UF,CAP; SMT (0603); 22UF; 20%; 16V; X5R; CERAMIC, 
14,"C33, C35, C38",-,3,GRM033C81A105ME05,MURATA,1UF,CAP; SMT (0201); 1UF; 20%; 10V; X6S; CERAMIC, 
15,C37,-,1,GRM033R71A472KA01D,MURATA,4700PF,CAP; SMT (0201); 4700PF; 10%; 10V; X7R; CERAMIC, 
16,C45-C49,-,5,GRM033R61C104K;C0603X5R1C104K030BC,MURATA;TDK,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 16V; X5R; CERAMIC, 
17,C56,-,1,C1005X5R1V105K050BC,TDK,1UF,CAP; SMT (0402); 1UF; 10%; 35V; X5R;  CERAMIC, 
18,C66,-,1,C0603X5R1E104M030BB;GRM033R61E104ME14,TDK;MURATA,0.1UF,CAP; SMT (0201); 0.1UF; 20%; 25V; X5R; CERAMIC, 
19,C67,-,1,04023D103KAT2A,AVX,0.01UF,CAP; SMT (0402); 0.01UF; 10%; 25V; X5R; CERAMIC, 
20,C70,-,1,C0603X5R1A104K030BC,TDK,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 10V; X5R; CERAMIC, 
21,D1,-,1,APFA2507QBDSEEZGKC,KINGBRIGHT,APFA2507QBDSEEZGKC,DIODE; LED; BLUE-RED-GREEN; SMT; VF=BLUE:+3.3V;RED:+2V;GRN:+3.3V; IF=BLUE:0.02A;RED:0.02A;GRN:0.02A, 
