TITLE: Bill of Materials
DATE: 12/23/2020
DESIGN: mrd104_microboard_apps_b
VARIANT:do_not_purchase


ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,1,ANT1,Pref,49-2450AT18D0100-00,2450AT18D0100,JOHANSON TECHNOLOGY,2.45GHZ,ANTENNA; DETUNING RESILIENT; SMT; EIA 1210; DETUNING RESILIENT; EDGE MOUNT DESIGN; 2.45GHZ, 
2,1,C1,Pref,20-000U1-04A,C1005X7R1H104K050BB;GRM155R71H104KE14;C1005X7R1H104K050BE;UMK105B7104KV-FR,TDK;MURATA;TDK;TAIYO YUDEN,0.1UF,CAP; SMT (0402); 0.1UF; 10%; 50V; X7R; CERAMIC, 
3,1,C2,Pref,EC111000002275,C1005X5R1V225K050BC,TDK,2.2UF,CAP; SMT (0402); 2.2UF; 10%; 35V; X5R; CERAMIC, 
4,4,"C3, C5, C8, C10",Pref,20-004U7-19,C1005X5R0J475K050BC,TDK,4.7UF,CAP; SMT (0402); 4.7UF; 10%; 6.3V; X5R; CERAMIC, 
5,1,C4,Pref,20-002U2-19,C1005X5R0J225K050BC;CL05A225KQ5NSN,TDK;SAMSUNG,2.2UF,CAP; SMT (0402); 2.2UF; 10%; 6.3V; X5R; CERAMIC, 
6,2,"C6, C16",Pref,EC111000004322,GRM0335C1H160JA01,MURATA,16PF,CAP; SMT (0201); 16PF; 5%; 50V; C0G; CERAMIC, 
7,7,"C7, C9, C40, C42, C44, C50, C51",Pref,20-0010U-P7,C1608X5R1E106M080AC;CL10A106MA8NRNC;GRM188R61E106MA73;ZRB18AR61E106ME01;GRT188R61E106ME13,TDK;SAMSUNG ELECTRONICS;MURATA;;MURATA,10UF,CAP; SMT (0603); 10UF; 20%; 25V; X5R; CERAMIC,USE ONLY GRM188R61E106MA73
8,3,"C11, C13, C14",Pref,20-0001U-AA20,GRM033R61A105ME15,MURATA,1UF,CAP; SMT (0201); 1UF; 20%; 10V; X5R; CERAMIC, 
9,7,"C12, C15, C34, C36, C52, C54, C55",Pref,20-000U1-BA99,GRM033C71C104KE14,MURATA,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 16V; X7S; CERAMIC, 
10,1,C17,Pref,20-0047U-A38,GRM21BR61A476ME15,MURATA,47UF,CAP; SMT (0805); 47UF; 20%; 10V; X5R; CERAMIC, 
11,1,C18,Pref,EC111000003909,GRM033R61E472MA12,MURATA,4700PF,CAP; SMT (0201); 4700PF; 20%; 25V; X5R; CERAMIC, 
