TITLE: Bill of Materials
DATE: 12/23/2020
DESIGN: mrd104_microboard_apps_b
VARIANT:do_not_purchase


ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,STATUS,EST_PRICE,COMMENTS
1,1,ANT1,49-2450AT18D0100-00,2450AT18D0100,JOHANSON TECHNOLOGY,2.45GHZ,ANTENNA; DETUNING RESILIENT; SMT; EIA 1210; DETUNING RESILIENT; EDGE MOUNT DESIGN; 2.45GHZ,EVKIT-NOT FOR TEST,$0.9900, 
2,1,C1,20-000U1-04A,C1005X7R1H104K050BB;GRM155R71H104KE14;C1005X7R1H104K050BE;UMK105B7104KV-FR,TDK;MURATA;TDK;TAIYO YUDEN,0.1UF,CAP; SMT (0402); 0.1UF; 10%; 50V; X7R; CERAMIC,TEMPLATE,$0.0190, 
3,1,C2,EC111000002275,C1005X5R1V225K050BC,TDK,2.2UF,CAP; SMT (0402); 2.2UF; 10%; 35V; X5R; CERAMIC,ACTIVE,$0.0920, 
4,4,"C3, C5, C8, C10",20-004U7-19,C1005X5R0J475K050BC,TDK,4.7UF,CAP; SMT (0402); 4.7UF; 10%; 6.3V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$1.6000, 
5,1,C4,20-002U2-19,C1005X5R0J225K050BC;CL05A225KQ5NSN,TDK;SAMSUNG,2.2UF,CAP; SMT (0402); 2.2UF; 10%; 6.3V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$0.2400, 
6,2,"C6, C16",EC111000004322,GRM0335C1H160JA01,MURATA,16PF,CAP; SMT (0201); 16PF; 5%; 50V; C0G; CERAMIC,ACTIVE,$0.2000, 
7,7,"C7, C9, C40, C42, C44, C50, C51",20-0010U-P7,C1608X5R1E106M080AC;CL10A106MA8NRNC;GRM188R61E106MA73;ZRB18AR61E106ME01;GRT188R61E106ME13,TDK;SAMSUNG ELECTRONICS;MURATA;;MURATA,10UF,CAP; SMT (0603); 10UF; 20%; 25V; X5R; CERAMIC,TEMPLATE,$2.3030,USE ONLY GRM188R61E106MA73
8,3,"C11, C13, C14",20-0001U-AA20,GRM033R61A105ME15,MURATA,1UF,CAP; SMT (0201); 1UF; 20%; 10V; X5R; CERAMIC,ACTIVE,$0.2370, 
9,7,"C12, C15, C34, C36, C52, C54, C55",20-000U1-BA99,GRM033C71C104KE14,MURATA,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 16V; X7S; CERAMIC,EVKIT-NOT FOR TEST,$0.7000, 
10,1,C17,20-0047U-A38,GRM21BR61A476ME15,MURATA,47UF,CAP; SMT (0805); 47UF; 20%; 10V; X5R; CERAMIC,ACTIVE,$0.2540, 
11,1,C18,EC111000003909,GRM033R61E472MA12,MURATA,4700PF,CAP; SMT (0201); 4700PF; 20%; 25V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$0.1000, 
12,14,"C19, C20, C22-C24, C26-C29, C32, C53, C62-C64",20-0001U-B8,C0402C105K8PAC;CC0402KRX5R6BB105,KEMET;YAGEO,1UF,CAP; SMT (0402); 1UF; 10%; 10V; X5R; CERAMIC,ACTIVE,$0.2800, 
13,7,"C21, C25, C30, C31, C39, C41, C43",20-0022U-A29,CL10A226MO7JZNC,SAMSUNG ELECTRONICS,22UF,CAP; SMT (0603); 22UF; 20%; 16V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$5.5300, 
14,3,"C33, C35, C38",20-0001U-EA78,GRM033C81A105ME05,MURATA,1UF,CAP; SMT (0201); 1UF; 20%; 10V; X6S; CERAMIC,EVKIT-NOT FOR TEST,$1.2600, 
15,1,C37,20-4700P-I6,GRM033R71A472KA01D,MURATA,4700PF,CAP; SMT (0201); 4700PF; 10%; 10V; X7R; CERAMIC,ACTIVE,$0.0130, 
16,5,C45-C49,20-000U1-A26,GRM033R61C104K;C0603X5R1C104K030BC,MURATA;TDK,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 16V; X5R; CERAMIC,ACTIVE,$0.0350, 
17,1,C56,20-0001U-BA62,C1005X5R1V105K050BC,TDK,1UF,CAP; SMT (0402); 1UF; 10%; 35V; X5R;  CERAMIC,EVKIT-NOT FOR TEST,$0.0610, 
18,1,C66,20-000U1-A20A,C0603X5R1E104M030BB;GRM033R61E104ME14,TDK;MURATA,0.1UF,CAP; SMT (0201); 0.1UF; 20%; 25V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$0.0000, 
19,1,C67,20-00U01-Z51,04023D103KAT2A,AVX,0.01UF,CAP; SMT (0402); 0.01UF; 10%; 25V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$0.2900, 
20,1,C70,20-000U1-61,C0603X5R1A104K030BC,TDK,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 10V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$0.1000, 
21,1,D1,ED1230,APFA2507QBDSEEZGKC,KINGBRIGHT,APFA2507QBDSEEZGKC,DIODE; LED; BLUE-RED-GREEN; SMT; VF=BLUE:+3.3V;RED:+2V;GRN:+3.3V; IF=BLUE:0.02A;RED:0.02A;GRN:0.02A,ACTIVE,$0.8300, 
22,1,D2,30-SMLLX0404SIUPGUSB-00,SML-LX0404SIUPGUSB,LUMEX OPTOCOMPONENTS INC,SML-LX0404SIUPGUSB,DIODE; LED; SML; FULL COLOR; WATER CLEAR LENS; RED-GREEN-BLUE; SMT; VF=2.95V; IF=0.1A,EVKIT-NOT FOR TEST,$1.2000, 
23,1,J1,EH111000005235,TF13BA-6S-0.4SH,HIROSE ELECTRIC CO LTD,TF13BA-6S-0.4SH,CONNECTOR; FEMALE; SMT; TF13BA SERIES; FPC/FFC CONNECTOR; 6PINS,EVKIT-NOT FOR TEST,$0.9900, 
24,1,J2,EH111000005014,FH26W-25S-0.3SHW(60),HIROSE ELECTRIC CO. LTD.,FH26W-25S-0.3SHW(60),CONNECTOR; FEMALE; SMT; FPC CONNECTOR; RIGHT ANGLE; 25PINS,EVKIT-NOT FOR TEST,$1.6400, 
25,1,J4,01-DX07S024JJ324P-26,DX07S024JJ3R1300,JAE ELECTRONIC INDUSTRY,DX07S024JJ3,CONNECTOR; FEMALE; SMT; USB TYPE-C CONNECTOR; DX07 SERIES RECEPTACLE; RIGHT ANGLE; 24PINS,EVKIT-NOT FOR TEST,$2.0900, 
26,4,"L1-L3, L5",50-002U2-0PD,DFE201612E-2R2M,MURATA,2.2UH,INDUCTOR; SMT (0806); WIREWOUND CHIP; 2.2UH; TOL=+/-20%; 1.8A,EVKIT-NOT FOR TEST,$0.0004, 
27,1,L4,50-002U2-OXF,MLP2012H2R2MT0S1,TDK,2.2UH,INDUCTOR; SMT (0805); FERRITE; 2.2UH; 20%; 1A,ACTIVE,$0.3800, 
28,1,L7,50-00220-SM2,BLM21PG221SN1,MURATA,220,INDUCTOR; SMT (0805); FERRITE-BEAD; 220; TOL=+/-25%; 0.2A,ACTIVE,$0.0512, 
29,1,L8,51-02000-0AJ,HZ1206C202R-10,LAIRD TECHNOLOGIES,2000,INDUCTOR; SMT (1206); FERRITE-BEAD; 2000; TOL=+/-25%; 0.3A,EVKIT-NOT FOR TEST,$0.1200, 
30,1,R5,80-0000R-26A,ERJ-2GE0R00,PANASONIC,0,RES; SMT (0402); 0; JUMPER; JUMPER; 0.1000W,ACTIVE,$0.0030, 
31,2,"R6, R7",80-005K1-P0,ERJ-1GNF5101C,PANASONIC,5.1K,RES; SMT (0201); 5.1K; 1%; +/-200PPM/DEGC; 0.0500W,EVKIT-NOT FOR TEST,$0.4800, 
