TITLE: Bill of Materials,,,,,,,,
DATE: 10/30/2020,,,,,,,,
DESIGN: max86176_wrist_evkit_d,,,,,,,,
VARIANT:do_not_install,,,,,,,,
,,,,,,,,
NOTE: DNI--> DO NOT INSTALL(PACKOUT) ; DNP--> DO NOT PROCURE,,,,,,,,
,,,,,,,,
ITEM,REF_DES,DNI/DNP,QTY,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,"C1, C2, C24, C30, C35",-,5,GRM188R61E106MA73,MURATA,10UF,CAP; SMT (0603); 10UF; 20%; 25V; X5R; CERAMIC CHIP, 
2,"C3, C4, C38",-,3,CC0603KRX7R0BB104;GRM188R72A104KA35;HMK107B7104KA;06031C104KAT2A;GRM188R72A104K,YAGEO;MURATA;TAIYO YUDEN;AVX;MURATA,0.1UF,CAP; SMT (0603); 0.1UF; 10%; 100V; X7R; CERAMIC, 
3,"C5, C6, C8",-,3,GRM155R61A106ME44;GRM155R61A106ME11;0402ZD106MAT2A;CL05A106MP5NUNC,MURATA;MURATA;AVX;SAMSUNG,10UF,CAP; SMT (0402); 10UF; 20%; 10V; X5R; CERAMIC, 
4,C7,-,1,GRM188R71E105KA12;TMK107B7105KA;06033C105KAT2A;C1608X7R1E105K080AE,MURATA;TAIYO YUDEN;AVX;TAIYO YUDEN,1UF,CAP; SMT (0603); 1UF; 10%; 25V; X7R; CERAMIC, 
5,C9,-,1,GRM033R61A104KE15; LMK063BJ104KP,MURATA;TAIYO YUDEN,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 10V; X5R; CERAMIC, 
6,C12,-,1,CL05A105KO5NNN,SAMSUNG,1UF,CAP; SMT (0402); 1UF; 10%; 16V; X5R; CERAMIC, 
7,C22,-,1,C0603X7R1A103K030BA;GRM033R71A103KA01;GCM033R71A103KA03;CGA1A2X7R1A103K030BA;0201ZC103KAT2A,TDK;MURATA;MURATA;TDK;AVX,0.01UF,CAP; SMT (0201); 0.01UF; 10%; 10V; X7R; CERAMIC, 
8,DS1,-,1,SFH 7016,OSRAM,SFH 7016,DIODE; LED; RED-GREEN-IR; SMT; VF=RED=2.1V; GREEN=2.5V; IR=1.3V; IF=RED=0.04A; GREEN=0.03A; IR=0.06A ;, 
9,J1,-,1,1981061-1,TYCO,1981061-1,CONNECTOR; MALE; SMD; LEAF TYPE BATTERY CONNECTOR; WITHOUT BOSS; 3 PINS, 
10,J2,-,1,5016162575,MOLEX,5016162575,CONNECTOR; FEMALE; SMT; EASY-ON TYPE FPC CONNECTOR; RIGHT ANGLE; 25PINS ;,Alternative Part can be used (Check alignment when inserting flex cable!)  https://www.digikey.com/en/products/detail/molex/5025982593/4141908
11,"R1B, R5, R6, R12, R14",-,5,CRCW02010000ZS;ERJ-1GN0R00,VISHAY DALE;PANASONIC,0,RES; SMT (0201); 0; 1%; JUMPER; 0.0500W, 
12,"R3A, R4A, R45, R46, R56",-,5,ERJ-2GE0R00,PANASONIC,0,RES; SMT (0402); 0; JUMPER; JUMPER; 0.1000W, 
13,"R16, R17",-,2,ERJ-2RKF1002,PANASONIC,10K,RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.1000W, 
14,R18,-,1,ERJ-2RKF1003,PANASONIC,100K,RES; SMT (0402); 100K; 1%; +/-100PPM/DEGC; 0.1000W, 
15,U1,-,1,MAX86176,MAXIM,MAX86176,EVKIT PART - IC; MAX86176; ULTRA-LOW POWER; OPTICAL PPG AND SINGLE LEAD ECD AFE; PACKAGE OUTLINE DRAWING: 21-100413; PACKAGE CODE: N362D2+1, 
16,"U2, U3, U14",-,3,VEMD8080,VISHAY,VEMD8080,DIODE; PIN; SMT; VRM=20V; IF=0.05A ;, 
17,U4,-,1,LIS2DS12,ST MICROELECTRONICS,LIS2DS12,IC; MEMS; DIGITAL OUTPUT MOTION SENSOR; ULTRA-LOW-POWER HIGH-PERFORMANCE 3-AXIS PICO ACCELEROMETER; MICROELECTROMECHANICAL SYSTEMS; LGA12; , 
18,U20,-,1,SIT1572AI-J3-18E-DCC-32.768,SITIME CORPORATION,SIT1572AI-J3-18E-DCC-32.768,OSCILLATOR; CSP 1.5 MM X 0.8 MM; 15PF; 32.768KHZ ; +/-10PPM, 
19,PCB,-,1,MAX86176WRIST,MAXIM,PCB,PCB:MAX86176WRIST,-
20,"R3B, R4B",DNP,0,ERJ-2GE0R00,PANASONIC,0,RES; SMT (0402); 0; JUMPER; JUMPER; 0.1000W, 
21,R7,DNP,0,CRCW02010000ZS;ERJ-1GN0R00,VISHAY DALE;PANASONIC,0,RES; SMT (0201); 0; 1%; JUMPER; 0.0500W, 
22,R11,DNP,0,ERJ-2RKF1003,PANASONIC,100K,RES; SMT (0402); 100K; 1%; +/-100PPM/DEGC; 0.1000W, 
23,"R28, R29",DNP,0,ERJ-2RKF1002,PANASONIC,10K,RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.1000W, 
24,"C18, C44, C45",DNP,0,N/A,N/A,OPEN,PACKAGE OUTLINE 0402 NON-POLAR CAPACITOR , 
25,"R1, R2, R4, R10",DNP,0,N/A,N/A,OPEN,PACKAGE OUTLINE 0402 RESISTOR , 
26,"R1A, R3",DNP,0,N/A,N/A,OPEN,PACKAGE OUTLINE 0201 RESISTOR , 
27,"R37, R38",DNP,0,N/A,N/A,SHORT,PACKAGE OUTLINE 0201 RESISTOR , 
TOTAL,,,38,,,,,
