TITLE: Bill of Materials
DATE: 10/30/2020
DESIGN: max86176_wrist_evkit_d
VARIANT:do_not_install


ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,STATUS,EST_PRICE,COMMENTS
1,5,"C1, C2, C24, C30, C35",20-0010U-P7,GRM188R61E106MA73,MURATA,10UF,CAP; SMT (0603); 10UF; 20%; 25V; X5R; CERAMIC CHIP,EVKIT-CUSTOM,$1.6450, 
2,3,"C3, C4, C38",20-000U1-01,CC0603KRX7R0BB104;GRM188R72A104KA35;HMK107B7104KA;06031C104KAT2A;GRM188R72A104K,YAGEO;MURATA;TAIYO YUDEN;AVX;MURATA,0.1UF,CAP; SMT (0603); 0.1UF; 10%; 100V; X7R; CERAMIC,TEMPLATE,$0.0780, 
3,3,"C5, C6, C8",20-0010U-BA12,GRM155R61A106ME44;GRM155R61A106ME11;0402ZD106MAT2A;CL05A106MP5NUNC,MURATA;MURATA;AVX;SAMSUNG,10UF,CAP; SMT (0402); 10UF; 20%; 10V; X5R; CERAMIC,ACTIVE,$1.2000, 
4,1,C7,20-0001U-P6,GRM188R71E105KA12;TMK107B7105KA;06033C105KAT2A;C1608X7R1E105K080AE,MURATA;TAIYO YUDEN;AVX;TAIYO YUDEN,1UF,CAP; SMT (0603); 1UF; 10%; 25V; X7R; CERAMIC,TEMPLATE,$0.0280, 
5,1,C9,20-000U1-H9,GRM033R61A104KE15; LMK063BJ104KP,MURATA;TAIYO YUDEN,0.1UF,CAP; SMT (0201); 0.1UF; 10%; 10V; X5R; CERAMIC,TEMPLATE,$0.0130, 
6,1,C12,EC2430,CL05A105KO5NNN,SAMSUNG,1UF,CAP; SMT (0402); 1UF; 10%; 16V; X5R; CERAMIC,EVKIT-NOT FOR TEST,$0.1000, 
7,1,C22,20-00U01-I6,C0603X7R1A103K030BA;GRM033R71A103KA01;GCM033R71A103KA03;CGA1A2X7R1A103K030BA;0201ZC103KAT2A,TDK;MURATA;MURATA;TDK;AVX,0.01UF,CAP; SMT (0201); 0.01UF; 10%; 10V; X7R; CERAMIC,ACTIVE,$0.0100, 
8,1,DS1,ED111000003532,SFH 7016,OSRAM,SFH 7016,DIODE; LED; RED-GREEN-IR; SMT; VF=RED=2.1V; GREEN=2.5V; IR=1.3V; IF=RED=0.04A; GREEN=0.03A; IR=0.06A ;NOTE:PURCHASE DIRECT FROM THE MANUFACTURER,NOT RECOMMENDED,$0.0000, 
9,1,J1,EH111000003993,1981061-1,TYCO,1981061-1,CONNECTOR; MALE; SMD; LEAF TYPE BATTERY CONNECTOR; WITHOUT BOSS; 3 PINS,EVKIT-NOT FOR TEST,$2.3300, 
10,1,J2,01-501616257525P-29,5016162575,MOLEX,5016162575,CONNECTOR; FEMALE; SMT; EASY-ON TYPE FPC CONNECTOR; RIGHT ANGLE; 25PINS ;NOTE:DISCONTINUED BY MANUFACTURER,OBSOLETE,$1.5000, 
11,5,"R1B, R5, R6, R12, R14",80-0000R-95,CRCW02010000ZS;ERJ-1GN0R00,VISHAY DALE;PANASONIC,0,RES; SMT (0201); 0; 1%; JUMPER; 0.0500W,ACTIVE,$0.0200, 
12,5,"R3A, R4A, R45, R46, R56",80-0000R-26A,ERJ-2GE0R00,PANASONIC,0,RES; SMT (0402); 0; JUMPER; JUMPER; 0.1000W,ACTIVE,$0.0150, 
13,2,"R16, R17",80-0010K-18,ERJ-2RKF1002,PANASONIC,10K,RES; SMT (0402); 10K; 1%; +/-100PPM/DEGC; 0.1000W,EVKIT-NOT FOR TEST,$0.0060, 
14,1,R18,80-0100K-18,ERJ-2RKF1003,PANASONIC,100K,RES; SMT (0402); 100K; 1%; +/-100PPM/DEGC; 0.1000W,EVKIT-NOT FOR TEST,$0.0080, 
15,1,U1,00-SAMPLE-01,MAX86176,MAXIM,MAX86176,EVKIT PART - IC; MAX86176; ULTRA-LOW POWER; OPTICAL PPG AND SINGLE LEAD ECD AFE; PACKAGE OUTLINE DRAWING: 21-100413; PACKAGE CODE: N362D2+1,EVKIT-CUSTOM,$0.0000, 
16,3,"U2, U3, U14",ED1259,VEMD8080,VISHAY,VEMD8080,DIODE; PIN; SMT; VRM=20V; IF=0.05A ;NOTE:PURCHASE DIRECT FROM THE MANUFACTURER,NOT RECOMMENDED,$0.0000, 
17,1,U4,EQ111000005315,LIS2DS12,ST MICROELECTRONICS,LIS2DS12,IC; MEMS; DIGITAL OUTPUT MOTION SENSOR; ULTRA-LOW-POWER HIGH-PERFORMANCE 3-AXIS PICO ACCELEROMETER; MICROELECTROMECHANICAL SYSTEMS; LGA12; NOTE: MANUFACTURER,EVKIT-NOT FOR TEST,$2.1100, 
18,1,U20,EX111000005339,SIT1572AI-J3-18E-DCC-32.768,SITIME CORPORATION,SIT1572AI-J3-18E-DCC-32.768,OSCILLATOR; CSP 1.5 MM X 0.8 MM; 15PF; 32.768KHZ ; +/-10PPM,EVKIT-NOT FOR TEST,$1.9600, 
TOTAL,37,,,,,,,,$11.02


PACKOUT (These are purchased parts but not assembled on PCB and will be shipped with PCB)
ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,STATUS,EST_PRICE,COMMENTS
TOTAL,0,,,,,,,,$0.00

TOTAL,37,,,,,,,,$11.02
