TITLE: Bill of Materials,,,,,,,,,,
DATE: 09/17/2020,,,,,,,,,,
DESIGN: max30208_hsp3_demo_b,,,,,,,,,,
VARIANT:dni,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,STATUS,EST_PRICE,COMMENTS
1,1,C1,20-000U1-DA39,GRM033C81E104KE14,MURATA,0.1UF,CAPACITOR; SMT (0201); CERAMIC; 0.1UF; 25V; TOL=10%; TG=-55 DEGC TO +105 DEGC; TC=X6S,EVKIT-NOT FOR TEST,$0.10 , 
2,0,J1,00-SAMPLE-01,TF13BA-6S-0.4SH_EDGE,HIROSE ELECTRIC CO LTD,TF13BA-6S-0.4SH_EDGE,CONNECTOR; MALE; SMT; TF13BA SERIES; FPC/FFC CONNECTOR; 6PINS; NOTE: EDGE CONNECTOR TO BE USED AT THE END OF A FLEX BOARD,DNS/DNI,$0.00 ,"DO NOT STUFF - DO NOT POPULATE - only  used for exposed gold pad creation - this flex cable plugs into a Flex connector on the main Host Micro board, this this is used for design and fagb only- DO NOT POPULATE"
3,1,U1,00-SAMPLE-02,MAX30208,MAXIM,MAX30208,EVKIT PART - IC; MAX30208; PACKAGE OUTLINE DRAWING: 21-100265; LGA10,EVKIT-CUSTOM,$0.00 , 
TOTAL,3,,,,,,,,$0.10 ,
,,,,,,,,,,
,,,,,,,,,,
PACKOUT (These are purchased parts but not assembled on PCB and will be shipped with PCB),,,,,,,,,,
ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,STATUS,EST_PRICE,COMMENTS
TOTAL,0,,,,,,,,$0.00 ,
,,,,,,,,,,
TOTAL,3,,,,,,,,$0.10 ,
